row_id,split,daily_social_media_hours,sleep_hours,screen_time_before_sleep,physical_activity,social_interaction_level,academic_performance,usage_intensity_cluster_id,usage_intensity_cluster_name,lifestyle_health_cluster_id,lifestyle_health_cluster_name,social_behavior_cluster_id,social_behavior_cluster_name,stress_pattern_cluster_id,stress_pattern_cluster_name,combined_persona
159,train,7.5,8.0,2.0,0.7,medium,3.25,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users
1406,train,7.6,4.5,2.2,1.3,medium,2.0,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
936,train,7.4,5.0,2.0,1.2,low,2.68,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
1250,train,4.8,6.1,2.6,1.2,medium,2.94,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,2,Moderately Social Users,0,Low Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Moderately Social Users | Low Stress Users
2560,train,4.4,5.7,0.6,0.2,medium,2.56,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
2525,train,6.6,6.0,0.9,0.7,high,2.18,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
278,train,3.0,6.9,2.3,0.6,low,3.34,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
136,train,4.5,8.1,1.6,1.2,low,3.72,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1249,train,7.8,5.3,2.1,1.4,high,2.39,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
301,train,6.9,6.4,0.9,1.3,medium,2.04,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
254,train,5.9,7.2,0.9,1.7,low,3.99,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
2739,train,6.6,5.1,2.7,0.7,low,2.26,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
513,train,4.7,5.1,2.0,1.8,low,2.35,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
2415,train,5.2,5.9,1.3,1.7,medium,2.87,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,2,Moderately Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users
2809,train,4.8,7.1,1.4,2.0,low,3.15,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1949,train,3.5,6.5,1.7,0.7,medium,2.96,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
731,train,1.0,7.1,0.8,1.9,high,2.47,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1384,train,5.6,5.5,0.8,1.9,low,2.79,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
2322,train,5.7,5.4,3.0,0.4,medium,2.31,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
140,train,4.4,8.8,1.3,0.4,low,2.69,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1364,train,1.4,7.4,1.5,1.2,medium,3.67,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2617,train,7.4,5.1,1.5,1.6,medium,2.5,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
1785,train,6.1,5.8,1.8,1.8,low,2.79,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
961,train,6.0,4.1,2.4,1.1,high,2.61,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
2250,train,7.3,6.3,0.6,1.9,low,2.32,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
309,train,6.6,9.0,1.5,1.5,low,3.04,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1324,train,4.0,7.4,0.7,0.8,low,3.2,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1536,train,4.2,5.9,1.9,0.7,high,3.12,2,Heavy Night Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Heavy Night Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
740,train,6.6,8.9,2.0,1.7,low,3.44,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
3204,train,6.0,6.2,1.3,1.4,low,3.16,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
2220,train,4.0,7.1,0.7,0.2,medium,2.83,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
959,train,5.3,6.8,0.7,1.5,low,3.9,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
374,train,2.9,8.4,2.6,1.8,medium,2.57,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
923,train,7.6,4.9,0.6,0.8,low,2.56,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
2613,train,7.8,6.0,0.9,0.7,medium,2.29,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
2122,train,1.3,8.1,1.7,0.6,medium,3.87,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
3110,train,4.3,5.9,2.0,0.4,high,2.88,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
1342,train,2.8,6.5,1.9,0.8,medium,2.98,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
766,train,3.9,8.7,1.5,0.7,low,2.71,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
3022,train,7.9,5.2,1.5,0.7,low,2.16,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
1898,train,7.0,5.1,1.9,1.3,low,2.1,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
2017,train,3.6,5.5,2.2,0.8,medium,2.74,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,2,Moderately Social Users,0,Low Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Moderately Social Users | Low Stress Users
1683,train,7.9,6.0,1.2,1.5,medium,2.03,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
476,train,1.8,5.9,1.9,0.6,low,2.89,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
450,train,3.3,8.4,2.1,0.2,high,3.4,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
2379,train,4.1,6.2,2.2,0.4,medium,2.69,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
3695,train,3.7,6.1,1.8,0.4,low,2.82,0,Light / Rested Users,1,Lifestyle Risk Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users
3603,train,1.6,6.9,2.7,0.7,high,3.39,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
350,train,2.7,5.4,2.6,0.0,medium,2.07,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users
2984,train,2.9,6.7,1.1,0.1,high,3.07,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
33,train,4.1,8.0,3.0,0.8,low,2.31,0,Light / Rested Users,1,Lifestyle Risk Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users
537,train,5.3,7.3,1.9,1.4,high,2.51,0,Light / Rested Users,1,Lifestyle Risk Users,2,Moderately Social Users,1,High Stress Users,Light / Rested Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users
2933,train,1.9,7.1,2.5,1.6,medium,3.39,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2590,train,5.3,7.4,0.6,0.6,high,3.25,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
1045,train,7.3,6.7,1.0,1.7,medium,3.41,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users
1639,train,1.4,8.4,0.7,0.1,medium,4.0,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
3368,train,1.1,7.0,2.2,1.3,high,3.78,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
924,train,1.7,7.0,0.8,0.9,high,3.39,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1196,train,2.3,8.0,1.9,0.4,high,2.12,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2821,train,7.1,5.8,0.6,0.4,low,2.09,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
823,train,1.4,8.0,2.5,1.8,low,3.54,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1666,train,1.3,7.8,1.4,0.8,high,3.74,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
723,train,2.3,6.6,1.4,1.5,medium,3.74,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,1,High Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users
1474,train,2.3,6.1,2.4,1.8,medium,3.61,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1400,train,4.7,6.4,1.5,1.0,medium,2.74,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
1904,train,5.8,5.5,1.7,1.1,medium,2.86,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
1937,train,2.3,7.2,1.3,1.9,high,3.92,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2764,train,7.9,5.6,2.5,1.4,high,2.14,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
318,train,6.4,6.7,0.8,1.9,high,3.9,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1112,train,6.4,4.3,2.3,1.1,low,3.99,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
3353,train,3.1,7.3,2.7,1.5,high,3.46,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1044,train,4.8,6.0,0.6,0.0,high,2.41,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users
777,train,5.4,4.2,1.8,0.3,medium,2.15,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
534,train,2.8,5.9,1.5,0.6,high,2.85,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,1,High Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users
958,train,4.0,6.7,0.6,1.5,high,2.51,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,2,Moderately Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users
2370,train,1.4,6.2,2.6,1.9,medium,3.4,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1304,train,6.8,5.1,3.0,0.1,low,2.14,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
505,train,1.5,6.7,1.0,0.4,low,3.9,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
3306,train,1.9,6.4,2.5,0.9,high,2.91,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
508,train,2.1,8.2,2.4,0.1,high,3.25,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
1775,train,4.4,6.4,2.2,1.3,low,2.83,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
2742,train,3.2,6.9,1.7,0.6,medium,3.09,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
1229,train,1.2,6.3,2.6,1.7,low,3.21,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
1586,train,5.4,6.1,1.6,0.8,medium,2.23,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
1326,train,4.9,6.4,1.8,0.2,high,2.91,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users
342,train,3.0,7.0,0.9,1.7,high,2.73,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
3362,train,2.8,6.6,1.1,1.4,high,3.77,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
3085,train,3.4,7.6,0.9,0.7,medium,3.71,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
3509,train,5.0,6.5,0.9,1.8,high,2.76,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2094,train,7.5,4.5,3.0,0.7,low,2.16,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
3437,train,2.0,8.3,0.9,1.8,high,3.67,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1810,train,2.4,7.6,1.2,1.5,low,3.51,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
996,train,4.4,8.8,2.3,0.3,medium,2.73,0,Light / Rested Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users
3314,train,2.6,7.5,1.3,1.7,low,4.0,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
854,train,1.2,7.3,1.0,1.1,medium,2.36,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
73,train,2.7,8.4,1.3,0.6,low,2.01,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
2795,train,6.7,6.7,1.7,1.9,high,2.55,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,2,Moderately Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users
3053,train,1.2,7.3,1.8,0.2,low,3.59,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
2014,train,1.8,7.6,1.7,1.7,high,3.82,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
1366,train,5.2,6.5,0.6,1.3,low,2.93,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users
2254,train,4.1,5.5,1.7,0.7,medium,2.6,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
3241,train,3.8,6.8,1.2,0.2,low,2.76,0,Light / Rested Users,0,Healthy Lifestyle Users,0,Socially Isolated Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users
